State ,District ,Crop,Crop_Year,Season,Area ,Production,Yield
Telangana,JAGITIAL,Banana,2017,Kharif     ,86,5540,64.42
Telangana,JAGITIAL,Banana,2018,Kharif     ,26,1601,61.58
Telangana,JAGITIAL,Banana,2019,Kharif     ,36,2128,59.11
Telangana,JANGOAN,Banana,2018,Kharif     ,2,123,61.5
Telangana,JAYASHANKAR,Banana,2016,Kharif     ,94,4349,46.27
Telangana,JAYASHANKAR,Banana,2017,Kharif     ,148,9534,64.42
Telangana,JAYASHANKAR,Banana,2018,Kharif     ,41,2524,61.56
Telangana,JAYASHANKAR,Banana,2019,Kharif     ,57,3369,59.11
Telangana,JOGULAMBA,Banana,2016,Kharif     ,24,1110,46.25
Telangana,JOGULAMBA,Banana,2017,Kharif     ,28,1804,64.43
Telangana,JOGULAMBA,Banana,2018,Kharif     ,20,1231,61.55
Telangana,KAMAREDDY,Banana,2016,Kharif     ,17,787,46.29
Telangana,KAMAREDDY,Banana,2017,Kharif     ,21,1353,64.43
Telangana,KAMAREDDY,Banana,2018,Kharif     ,21,1293,61.57
Telangana,KAMAREDDY,Banana,2019,Kharif     ,24,1419,59.13
Telangana,KARIMNAGAR,Banana,2013,Whole Year ,14,436,31.14
Telangana,KARIMNAGAR,Banana,2014,Kharif     ,31,1307,42.16
Telangana,KARIMNAGAR,Banana,2015,Kharif     ,50,2392,47.84
Telangana,KARIMNAGAR,Banana,2016,Kharif     ,4,185,46.25
Telangana,KARIMNAGAR,Banana,2017,Kharif     ,9,580,64.44
Telangana,KARIMNAGAR,Banana,2018,Kharif     ,8,493,61.63
Telangana,KARIMNAGAR,Banana,2019,Kharif     ,23,1359,59.09
Telangana,KHAMMAM,Banana,2013,Whole Year ,668,20804,31.14
Telangana,KHAMMAM,Banana,2014,Kharif     ,358,15518,43.35
Telangana,KHAMMAM,Banana,2015,Kharif     ,386,23093,59.83
Telangana,KHAMMAM,Banana,2016,Kharif     ,37,2110,57.03
Telangana,KHAMMAM,Banana,2017,Kharif     ,31,1997,64.42
Telangana,KHAMMAM,Banana,2018,Kharif     ,41,2524,61.56
Telangana,KHAMMAM,Banana,2019,Kharif     ,27,1596,59.11
Telangana,KOMARAM BHEEM ASIFABAD,Banana,2016,Kharif     ,8,370,46.25
Telangana,KOMARAM BHEEM ASIFABAD,Banana,2017,Kharif     ,8,515,64.38
Telangana,KOMARAM BHEEM ASIFABAD,Banana,2018,Kharif     ,11,677,61.55
Telangana,KOMARAM BHEEM ASIFABAD,Banana,2019,Kharif     ,18,1064,59.11
Telangana,MAHABUBABAD,Banana,2017,Kharif     ,6,387,64.5
Telangana,MAHABUBABAD,Banana,2018,Kharif     ,4,246,61.5
Telangana,MAHABUBABAD,Banana,2019,Kharif     ,8,473,59.13
Telangana,MAHBUBNAGAR,Banana,2015,Kharif     ,2,96,48
Telangana,MAHBUBNAGAR,Banana,2017,Kharif     ,2,129,64.5
Telangana,MEDAK,Banana,2013,Whole Year ,545,16973,31.14
Telangana,MEDAK,Banana,2014,Kharif     ,904,37703,41.71
Telangana,MEDAK,Banana,2015,Kharif     ,660,26948,40.83
Telangana,MEDAK,Banana,2016,Kharif     ,5,184,36.8
Telangana,MEDAK,Banana,2017,Kharif     ,3,193,64.33
Telangana,MEDAK,Banana,2018,Kharif     ,6,369,61.5
Telangana,MEDAK,Banana,2019,Kharif     ,4,236,59
Telangana,MEDCHAL MALKAJGIRI,Banana,2016,Kharif     ,3,139,46.33
Telangana,MEDCHAL MALKAJGIRI,Banana,2017,Kharif     ,3,193,64.33
Telangana,MEDCHAL MALKAJGIRI,Banana,2018,Kharif     ,3,185,61.67
Telangana,MEDCHAL MALKAJGIRI,Banana,2019,Kharif     ,8,473,59.13
Telangana,MULUGU,Banana,2018,Kharif     ,118,7266,61.58
Telangana,MULUGU,Banana,2019,Kharif     ,164,9693,59.1
Telangana,NAGARKURNOOL,Banana,2018,Kharif     ,3,185,61.67
Telangana,NAGARKURNOOL,Banana,2019,Kharif     ,15,887,59.13
Telangana,NALGONDA,Banana,2013,Whole Year ,11,343,31.18
Telangana,NALGONDA,Banana,2014,Kharif     ,39,1645,42.18
Telangana,NALGONDA,Banana,2015,Kharif     ,33,1579,47.85
Telangana,NALGONDA,Banana,2016,Kharif     ,4,185,46.25
Telangana,NARAYANAPET,Banana,2018,Kharif     ,8,493,61.63
Telangana,NARAYANAPET,Banana,2019,Kharif     ,3,177,59
Telangana,NIRMAL,Banana,2016,Kharif     ,44,2036,46.27
Telangana,NIRMAL,Banana,2017,Kharif     ,18,1160,64.44
Telangana,NIRMAL,Banana,2018,Kharif     ,32,1970,61.56
Telangana,NIRMAL,Banana,2019,Kharif     ,20,1182,59.1
Telangana,NIZAMABAD,Banana,2013,Whole Year ,46,1433,31.15
Telangana,NIZAMABAD,Banana,2014,Kharif     ,44,1856,42.18
Telangana,NIZAMABAD,Banana,2015,Kharif     ,98,4688,47.84
Telangana,NIZAMABAD,Banana,2016,Kharif     ,63,2915,46.27
Telangana,NIZAMABAD,Banana,2017,Kharif     ,51,3285,64.41
Telangana,NIZAMABAD,Banana,2018,Kharif     ,58,3571,61.57
Telangana,NIZAMABAD,Banana,2019,Kharif     ,64,3783,59.11
Telangana,PEDDAPALLI,Banana,2016,Kharif     ,12,555,46.25
Telangana,PEDDAPALLI,Banana,2017,Kharif     ,36,2319,64.42
Telangana,PEDDAPALLI,Banana,2018,Kharif     ,38,2340,61.58
Telangana,PEDDAPALLI,Banana,2019,Kharif     ,12,709,59.08
Telangana,RANGAREDDI,Banana,2013,Whole Year ,63,1962,31.14
Telangana,RANGAREDDI,Banana,2014,Kharif     ,56,2362,42.18
Telangana,RANGAREDDI,Banana,2015,Kharif     ,99,4736,47.84
Telangana,RANGAREDDI,Banana,2016,Kharif     ,10,463,46.3
Telangana,RANGAREDDI,Banana,2017,Kharif     ,9,580,64.44
Telangana,RANGAREDDI,Banana,2018,Kharif     ,2,123,61.5
Telangana,RANGAREDDI,Banana,2019,Kharif     ,4,236,59
Telangana,SANGAREDDY,Banana,2016,Kharif     ,531,19582,36.88
Telangana,SANGAREDDY,Banana,2017,Kharif     ,332,19037,57.34
Telangana,SANGAREDDY,Banana,2018,Kharif     ,250,11496,45.98
Telangana,SANGAREDDY,Banana,2019,Kharif     ,259,16251,62.75
Telangana,SIDDIPET,Banana,2016,Kharif     ,6,221,36.83
Telangana,SIDDIPET,Banana,2017,Kharif     ,5,322,64.4
Telangana,SIDDIPET,Banana,2018,Kharif     ,5,308,61.6
Telangana,SIDDIPET,Banana,2019,Kharif     ,1,59,59
Telangana,SURYAPET,Banana,2017,Kharif     ,14,902,64.43
Telangana,SURYAPET,Banana,2018,Kharif     ,6,369,61.5
Telangana,SURYAPET,Banana,2019,Kharif     ,5,296,59.2
Telangana,VIKARABAD,Banana,2016,Kharif     ,94,4349,46.27
Telangana,VIKARABAD,Banana,2017,Kharif     ,75,4831,64.41
Telangana,VIKARABAD,Banana,2018,Kharif     ,129,7943,61.57
Telangana,VIKARABAD,Banana,2019,Kharif     ,158,9339,59.11
Telangana,WANAPARTHY,Banana,2019,Kharif     ,4,236,59
Telangana,WARANGAL,Banana,2013,Whole Year ,175,5450,31.14
Telangana,WARANGAL,Banana,2014,Kharif     ,264,11133,42.17
Telangana,WARANGAL,Banana,2015,Kharif     ,408,19519,47.84
Telangana,WARANGAL,Banana,2016,Kharif     ,161,7449,46.27
Telangana,WARANGAL,Banana,2017,Kharif     ,220,15992,72.69
